O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Category,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-1011.00,Chief Executives,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.86,37,0.0725,2.7131,3.0000,N,,08/2023,Incumbent
11-1011.00,Chief Executives,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,37,0.0000,,,N,,08/2023,Incumbent
11-1011.00,Chief Executives,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,13.99,37,7.2506,4.5724,35.5705,N,,08/2023,Incumbent
11-1011.00,Chief Executives,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,86.01,37,7.2506,64.4295,95.4276,N,,08/2023,Incumbent
11-1011.03,Chief Sustainability Officers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.74,27,,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,3.70,27,,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,18.52,27,,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,77.78,27,,,,,,08/2021,Occupational Expert
11-1021.00,General and Operations Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.70,22,0.1271,2.4348,2.9635,N,,08/2023,Incumbent
11-1021.00,General and Operations Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,0.00,22,0.0000,,,N,,08/2023,Incumbent
11-1021.00,General and Operations Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,30.08,22,12.7115,10.9080,60.1923,N,,08/2023,Incumbent
11-1021.00,General and Operations Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,69.92,22,12.7115,39.8077,89.0920,N,,08/2023,Incumbent
11-2011.00,Advertising and Promotions Managers,4.C.3.d.8,Duration of Typical Work Week,CT,Context,,2.48,26,0.1640,2.1391,2.8147,N,,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,15.16,26,7.9712,4.7511,39.0391,N,,08/2018,Incumbent
